2026 Spring BSC Teams,,,,
,,,,
Team #,Team Name,Gender,Grade,
1,G3 Dash,Girls,3,
2,G3 Legacy,Girls,3,
3,G3 Spirit,Girls,3,
4,G4 Liverpool,Girls,4,
5,G4 Reign,Girls,4,
6,G4 Spurs,Girls,4,
7,G5 Angel City,Girls,5,
8,G5 Gotham,Girls,5,
9,G6 Arsenal,Girls,6,
10,G6 Barcelona,Girls,6,
11,G6 Real Madrid,Girls,6,
12,G7 Ajax,Girls,7,
13,G7 Chelsea,Girls,7,
14,G8 Courage,Girls,8,
15,G8 Pride,Girls,8,
16,B3 Atalanta,Boys,3,
17,B3 Como,Boys,3,
18,B3 Fiorentina,Boys,3,
19,B3 Ipswich,Boys,3,
20,B4 Brentford,Boys,4,
21,B4 Inter,Boys,4,
22,B4 Santos,Boys,4,
23,B4 Valencia,Boys,4,
24,B5 Benfica,Boys,5,
25,B5 Dortmund,Boys,5,
26,B5 Napoli,Boys,5,
27,B6 Roma,Boys,6,
28,B6 Porto,Boys,6,
29,B6 Fulham,Boys,6,
30,B7 Athletico,Boys,7,
31,B7 Bayern,Boys,7,
32,B8 Rangers,Boys,8,
33,B8 Man City,Boys,8,
