,,,,,,,,,,,
2026 World Cup Countries,,,,,,,,,,,
,World Ranking,,,,,,,,,,
Spain,1,,,,,,,,,,
Argentina,2,,,,,,,,,,
France,3,,,,,,,,,,
England,4,,,,,,,,,,
Brazil,5,,,,,,,,,,
Portugal,6,,,,,,,,,,
Netherlands,7,,,,,,,,,,
Morocco,8,,,,,,,,,,
Belgium,9,,,,,,,,,,
Germany,10,,,,,,,,,,
Croatia,11,,,,,,,,,,
Senegal,12,,,,,,,,,,
Colombia,14,,,,,,,,,,
USA,15,,,,,,,,,,
Mexico,16,,,,,,,,,,
Uruguay,17,,,,,,,,,,
Switzerland,18,,,,,,,,,,
Japan,19,,,,,,,,,,
IR Iran,20,,,,,,,,,,
Korea Republic,22,,,,,,,,,,
Ecuador,23,,,,,,,,,,
Austria,24,,,,,,,,,,
Australia,27,,,,,,,,,,
Algeria,28,,,,,,,,,,
Canada,29,,,,,,,,,,
Egypt,31,,,,,,,,,,
Norway,32,,,,,,,,,,
Panama,33,,,,,,,,,,
Côte D'Ivoire,37,,,,,,,,,,
Scotland,38,,,,,,,,,,
Paraguay,40,,,,,,,,,,
Tunisia,47,,,,,,,,,,
Uzbekistan,52,,,,,,,,,,
Qatar,56,,,,,,,,,,
South Africa,60,,,,,,,,,,
Saudi Arabia,61,,,,,,,,,,
Jordan,64,,,,,,,,,,
Cabo Verde,67,,,,,,,,,,
Ghana,72,,,,,,,,,,
Curaçao,81,,,,,,,,,,
Haiti,83,,,,,,,,,,
New Zealand,85,,,,,,,,,,
BOL/SUR/IRQ,unranked,,,,,,,,,,
Den/MKD/CZE/IRL,unranked,,,,,,,,,,
ITA/NIR/WAL/BIH,unranked,,,,,,,,,,
NCL/JAM/COD,unranked,,,,,,,,,,
TUR/ROU/SVK/KOS,unranked,,,,,,,,,,
UKR/SWE/POL/ALB,unranked,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Names for unranked teams,,,,,,,,,,,
ALB,Albania,,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,
BOL,Bolivia,,,,,,,,,,
COD,Democratic Republic of the Congo,,,,,,,,,,
CZE,Czech Republic,,,,,,,,,,
DEN,Denmark,,,,,,,,,,
IRL,Ireland,,,,,,,,,,
IRQ,Iraq,,,,,,,,,,
ITA,Italy,,,,,,,,,,
JAM,Jamaica,,,,,,,,,,
KOS,Kosovo,,,,,,,,,,
MKD,North Macedonia,,,,,,,,,,
NCL,New Caledonia,,,,,,,,,,
NIR,Northern Ireland,,,,,,,,,,
POL,Poland,,,,,,,,,,
ROU,Romania,,,,,,,,,,
SUR,Suriname,,,,,,,,,,
SVK,Slovakia,,,,,,,,,,
SWE,Sweden,,,,,,,,,,
TUR,Turkey,,,,,,,,,,
UKR,Ukraine,,,,,,,,,,
WAL,Wales,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
